149.874,9157.65
152.598,8578.95
155.320,8117.55
158.043,7616.85
160.764,7211.65
163.484,6734.8
166.204,6397.5
168.922,6144
171.640,5809.85
174.357,5566.8
177.073,5358.1
179.789,5195.9
182.503,5048.75
185.217,4908.25
187.930,4868.8
190.642,4883.75
193.353,4831.1
196.063,4911.9
198.772,5053.9
201.481,5203.9
204.189,5587.25
206.896,6111.75
209.602,6952.25
212.307,8021.7
215.011,9411.55
217.715,10833.55
220.417,11740.5
223.119,12136.55
225.820,11622.75
228.520,10500.2
231.220,9094.55
233.918,7693.4
236.616,6505.4
239.313,5618.75
242.009,5004.9
244.704,4499.9
247.398,4219.75
250.092,3956.85
252.784,3748.6
255.476,3606.05
258.167,3488.75
260.857,3408.65
263.546,3324.35
266.235,3275.4
268.922,3226.1
271.609,3179.45
274.295,3140.55
276.980,3123.95
279.665,3106.1
282.348,3102.25
285.031,3107.45
287.713,3098.55
290.394,3062.95
293.074,3112.25
295.753,3114.1
298.432,3099.65
301.109,3106.4
303.786,3117.85
306.462,3118.85
309.137,3129.6
311.812,3154.7
314.485,3162.8
317.158,3155.95
319.830,3154.8
322.501,3171.6
325.171,3210.9
327.840,3233.55
330.509,3290.65
333.177,3335.15
335.844,3381
338.510,3499.35
341.175,3649.8
343.839,3895.85
346.503,4173.95
349.166,4303.35
351.828,4378
354.489,4281.75
357.149,4080.7
359.809,3846.3
362.468,3653.1
365.126,3553.8
367.783,3514.1
370.439,3509.7
373.094,3478.25
375.749,3424.45
378.403,3484.45
381.056,3459.65
383.708,3496.65
386.359,3471.55
389.010,3485.7
391.660,3514.05
394.309,3548.2
396.957,3529.1
399.604,3572.5
402.250,3600.6
404.896,3635.95
407.541,3677.2
410.185,3695.85
412.828,3679.8
415.471,3677.3
418.112,3679.15
420.753,3660.35
423.393,3627.5
426.032,3606.05
428.670,3623.3
431.308,3632.55
433.945,3624.15
436.581,3627.85
439.216,3625
441.850,3595.65
444.483,3609.25
447.116,3605.15
449.748,3614
452.379,3558.8
455.009,3583.5
457.639,3613.3
460.267,3649.05
462.895,3743.85
465.522,3899.3
468.149,3966.3
470.774,3888.15
473.399,3818
476.022,3674.45
478.645,3490.6
481.268,3405.75
483.889,3384.8
486.510,3367.1
489.130,3411.05
491.749,3409.5
494.367,3399
496.984,3375.1
499.601,3268.25
502.217,3183.45
504.832,3070.9
507.446,2988.8
510.059,2985.55
512.672,3142.2
515.284,3531.75
517.895,4682.8
520.505,7818
523.114,9774.55
525.723,9983.3
528.331,9556.1
530.938,8151.05
533.544,4969.85
536.149,3117.3
538.754,2512.1
541.358,2206.45
543.961,1983.9
546.563,1850.7
549.165,1771.3
551.765,1717.35
554.365,1645.95
556.964,1613
559.563,1574.25
562.160,1544.05
564.757,1509.25
567.353,1484.3
569.948,1476.5
572.542,1463.65
575.136,1461.25
577.728,1430.9
580.320,1454.6
582.912,1461.1
585.502,1440.15
588.092,1470.95
590.680,1478.8
593.268,1500.85
595.856,1534.2
598.442,1560.8
601.028,1622.45
603.613,1673.55
606.197,1746
608.780,1845.2
611.362,2010.8
613.944,2261.3
616.525,2670.95
619.105,3395.6
621.685,4263.05
624.263,4895.1
626.841,5014.15
629.418,4710.4
631.994,4056.4
634.570,3152.4
637.145,2462.55
639.718,2001.2
642.292,1732.35
644.864,1578.15
647.436,1463.1
650.006,1400.05
652.576,1338.1
655.146,1314.6
657.714,1273.5
660.282,1257.35
662.849,1239.9
665.415,1233.45
667.980,1204.35
670.545,1195.15
673.108,1195.7
675.671,1211.75
678.234,1198.2
680.795,1194.5
683.356,1201.4
685.916,1201.05
688.475,1202.35
691.033,1223.75
693.591,1233.15
696.147,1240
698.703,1253.55
701.259,1236.8
703.813,1250.35
706.367,1236.45
708.920,1233.85
711.472,1239.3
714.023,1255.7
716.574,1246.4
719.124,1269.55
721.673,1333
724.221,1416.55
726.769,1539.05
729.316,1693.8
731.862,1817.15
734.407,1859.3
736.951,1819.6
739.495,1723.95
742.038,1570
744.580,1447.45
747.122,1366.35
749.662,1332.05
752.202,1314.4
754.741,1309.1
757.279,1326.4
759.817,1337.25
762.354,1355.1
764.890,1400.3
767.425,1451.15
769.960,1539.15
772.493,1685.15
775.026,1941.8
777.559,2568.05
780.090,4081.1
782.621,8174.55
785.151,18738.7
787.680,23261.75
790.208,23235.3
792.736,22100.1
795.263,17319.95
797.789,7701.85
800.314,3780.95
802.839,2919.7
805.363,2731.45
807.886,2753.95
810.408,2850.55
812.930,2877.75
815.451,2810.7
817.971,2612.95
820.490,2334.3
823.009,2077.3
825.526,1869.7
828.044,1737.9
830.560,1690.05
833.075,1711.65
835.590,1721.2
838.104,1785.1
840.617,1856
843.130,1943.65
845.642,1948
848.153,1910
850.663,1789.2
853.172,1652.9
855.681,1528.35
858.189,1419.45
860.696,1340.45
863.203,1293.25
865.709,1264.35
868.214,1241.65
870.718,1220.8
873.221,1202
875.724,1196.15
878.226,1203.35
880.727,1209.4
883.228,1212.85
885.728,1211.7
888.227,1242.2
890.725,1300.8
893.222,1376.45
895.719,1465.85
898.215,1485.55
900.710,1484.6
903.205,1446.8
905.699,1359.8
908.192,1279.9
910.684,1233.25
913.176,1202.75
915.666,1181.55
918.156,1181.75
920.646,1151.2
923.134,1167.8
925.622,1155.25
928.109,1146.75
930.595,1182.3
933.081,1173.25
935.566,1176.65
938.050,1185.35
940.533,1170.5
943.016,1172.95
945.498,1175.3
947.979,1175.45
950.459,1181.25
952.939,1203.8
955.418,1232.05
957.896,1245.9
960.374,1289.75
962.850,1323.95
965.326,1413.4
967.802,1483.25
970.276,1570.95
972.750,1624.25
975.223,1689.6
977.695,1734.95
980.167,1773.75
982.638,1818.6
985.108,1961.6
987.577,2313.95
990.046,2877.9
992.513,3384.3
994.981,4002.5
997.447,5604.35
999.913,14243.5
1002.378,34085.1
1004.842,37948.65
1007.305,37871
1009.768,35984.75
1012.230,25176.6
1014.691,8091.05
1017.152,3762.5
1019.612,2841
1022.071,2630.25
1024.529,3053.1
1026.987,5701.5
1029.444,11033.85
1031.900,11889.35
1034.355,11805.1
1036.810,11132.35
1039.264,7859.95
1041.717,3350.3
1044.170,2176
1046.622,1884.65
1049.073,1737.75
1051.523,1635.85
1053.973,1565.25
1056.422,1506.25
1058.870,1469.95
1061.317,1455.9
1063.764,1422.85
1066.210,1416.4
1068.655,1412.75
1071.100,1401.45
1073.544,1418.2
1075.987,1439.95
1078.429,1454.95
1080.871,1490.45
1083.312,1514.8
1085.752,1491.5
1088.191,1457.85
1090.630,1416.75
1093.068,1355.1
1095.505,1306.45
1097.942,1287.8
1100.378,1264.6
1102.813,1252.35
1105.248,1261.15
1107.681,1252.8
1110.114,1238.35
1112.547,1256.05
1114.978,1218.65
1117.409,1218.55
1119.839,1215
1122.269,1233.75
1124.697,1236.45
1127.125,1248.5
1129.552,1287.05
1131.979,1308.35
1134.405,1360.3
1136.830,1399.85
1139.254,1482.5
1141.678,1573.15
1144.101,1672.5
1146.523,1853.2
1148.945,2130.25
1151.366,2639.8
1153.786,3278.35
1156.205,3786.15
1158.624,4012.3
1161.042,3941.7
1163.459,3622.25
1165.876,3117.3
1168.291,2708.85
1170.707,2531.05
1173.121,2601.4
1175.535,2949.75
1177.948,3386.15
1180.360,3626.3
1182.772,3688.85
1185.182,3544.65
1187.593,3158.2
1190.002,2717.1
1192.411,2439.1
1194.819,2320.15
1197.226,2328.9
1199.633,2457.6
1202.039,2799.4
1204.444,3832.3
1206.848,6577.05
1209.252,10162.4
1211.655,11286
1214.058,11075.5
1216.459,9858.75
1218.860,6871.85
1221.261,3542.45
1223.660,2259.05
1226.059,1835.9
1228.457,1629.7
1230.855,1530.95
1233.251,1465
1235.647,1415.6
1238.043,1406.8
1240.437,1378.75
1242.831,1406.1
1245.225,1412.5
1247.617,1415.2
1250.009,1397.4
1252.400,1379.35
1254.790,1345.95
1257.180,1305.8
1259.569,1284.9
1261.958,1244.8
1264.345,1220.6
1266.732,1226.1
1269.118,1226
1271.504,1234.15
1273.889,1238.7
1276.273,1243.65
1278.656,1233.35
1281.039,1249.1
1283.421,1247.5
1285.802,1245.05
1288.183,1235.6
1290.563,1246.5
1292.942,1233.3
1295.321,1248.7
1297.699,1262.5
1300.076,1266.9
1302.452,1299.9
1304.828,1343.75
1307.203,1396.45
1309.578,1444.9
1311.951,1502.45
1314.324,1528.3
1316.697,1515.05
1319.068,1522.9
1321.439,1486.85
1323.810,1466.6
1326.179,1502.85
1328.548,1563.1
1330.916,1642.1
1333.284,1676
1335.650,1664.05
1338.017,1635.55
1340.382,1550.25
1342.747,1507.85
1345.111,1457.1
1347.474,1431.2
1349.837,1442.55
1352.199,1453.75
1354.560,1478.75
1356.920,1524.95
1359.280,1579.05
1361.640,1618.15
1363.998,1730.4
1366.356,1838.1
1368.713,2033.9
1371.070,2282.95
1373.425,2820.05
1375.780,3725.85
1378.135,4620.25
1380.489,5016.2
1382.842,5020.5
1385.194,4608.45
1387.546,3783.7
1389.897,2925.65
1392.247,2404.2
1394.597,2139
1396.946,1953.5
1399.294,1856.95
1401.641,1724.05
1403.988,1702.4
1406.335,1704.45
1408.680,1685.4
1411.025,1697.9
1413.369,1740.1
1415.713,1756.75
1418.055,1820.85
1420.398,1845.35
1422.739,1906.6
1425.080,1985.75
1427.420,2078.05
1429.759,2160.6
1432.098,2236.15
1434.436,2316.2
1436.773,2391.35
1439.110,2438.3
1441.446,2475.25
1443.781,2447.8
1446.116,2437.7
1448.450,2393.2
1450.783,2348.8
1453.116,2286.35
1455.448,2236
1457.779,2186.45
1460.110,2134
1462.440,2089
1464.769,2050.85
1467.098,2015.7
1469.426,1952
1471.753,1920.3
1474.080,1882.2
1476.405,1855.1
1478.731,1811.8
1481.055,1790.7
1483.379,1780.2
1485.702,1740.6
1488.025,1752.1
1490.347,1783.1
1492.668,1847.2
1494.989,1901.2
1497.308,1890.4
1499.628,1887.65
1501.946,1849.75
1504.264,1759.55
1506.581,1694.9
1508.898,1628.25
1511.213,1614.5
1513.529,1591.35
1515.843,1549.55
1518.157,1553.3
1520.470,1544.65
1522.783,1550.65
1525.095,1541.1
1527.406,1525.55
1529.716,1536.7
1532.026,1518.15
1534.335,1524.2
1536.644,1518.55
1538.952,1527.2
1541.259,1523.4
1543.565,1524.2
1545.871,1531.85
1548.176,1542.2
1550.481,1566.6
1552.785,1591.85
1555.088,1613.7
1557.390,1630.5
1559.692,1681.4
1561.993,1690.45
1564.294,1777.85
1566.594,1846.05
1568.893,1948.95
1571.192,2085.9
1573.490,2312.7
1575.787,2579.25
1578.083,2940.1
1580.379,3547.25
1582.675,4274.7
1584.969,4876.45
1587.263,5063.35
1589.556,5003.65
1591.849,4721.7
1594.141,4339.35
1596.432,4292.05
1598.723,4844.3
1601.013,5996.45
1603.302,7152.45
1605.591,7746.85
1607.879,7607.25
1610.166,6915.4
1612.453,5646.35
1614.739,4393.45
1617.024,3561.05
1619.309,3116.85
1621.593,2831.7
1623.877,2651.05
1626.160,2492.1
1628.442,2328
1630.723,2154.95
1633.004,1959.95
1635.284,1834.3
1637.564,1696.3
1639.842,1608
1642.121,1554.55
1644.398,1492.8
1646.675,1467.15
1648.951,1414.55
1651.227,1396.1
1653.502,1367.95
1655.776,1333.9
1658.050,1327.5
1660.323,1316.3
1662.595,1284.75
1664.867,1275.5
1667.138,1271.8
1669.408,1249.2
1671.678,1252.2
1673.947,1281.25
1676.215,1277.9
1678.483,1297.1
1680.750,1295.3
1683.017,1285.4
1685.283,1291.15
1687.548,1278.2
1689.813,1245.15
1692.076,1231.5
1694.340,1218.35
1696.602,1209.55
1698.864,1186.4
1701.126,1188.55
1703.386,1165.65
1705.646,1158.15
1707.906,1160.15
1710.165,1149
1712.423,1145
1714.680,1144.55
1716.937,1145.35
1719.193,1130.8
1721.449,1125.85
1723.703,1148.05
1725.958,1136.3
1728.211,1139.5
1730.464,1136.35
1732.717,1149.25
1734.968,1134.75
1737.219,1129.4
1739.470,1123.85
1741.719,1125.75
1743.969,1111.45
1746.217,1112.4
1748.465,1110.6
1750.712,1103.2
1752.959,1097.15
1755.205,1097.05
1757.450,1099.95
1759.695,1102.95
1761.939,1091.9
1764.182,1108
1766.425,1105
1768.667,1112.6
1770.908,1108.75
1773.149,1116.3
1775.389,1105.8
1777.629,1116.05
1779.868,1127.55
1782.106,1137.3
1784.343,1147.5
1786.580,1174.05
1788.817,1172
1791.053,1181.85
1793.288,1169.75
1795.522,1151.9
1797.756,1121.4
