raw - raw,raw - raw
Raman Shift,Intensity
Raw Data x cm-1,Raw Data y a. u.
param: nan,param: nan
raw data from C:\01_Code\ECPypsi_v0.7\data\raw\01_561nm_300g_5x3_mit1800_Toluol..txt,raw data from C:\01_Code\ECPypsi_v0.7\data\raw\01_561nm_300g_5x3_mit1800_Toluol..txt
149.887,1420.33333333333
152.611,1369.66666666667
155.334,1322.0
158.056,1306.33333333333
160.777,1258.66666666667
163.497,1250.33333333333
166.217,1217.0
168.936,1210.66666666667
171.654,1181.0
174.371,1137.66666666667
177.087,1119.0
179.802,1131.66666666667
182.516,1119.0
185.23,1072.0
187.943,1091.0
190.655,1099.0
193.366,1081.0
196.076,1093.33333333333
198.786,1090.66666666667
201.494,1143.33333333333
204.202,1131.33333333333
206.909,1206.66666666667
209.615,1265.33333333333
212.32,1357.0
215.024,1478.66666666667
217.728,1586.0
220.43,1701.0
223.132,1707.0
225.833,1668.0
228.533,1575.66666666667
231.233,1414.33333333333
233.931,1317.0
236.629,1236.0
239.326,1165.33333333333
242.022,1081.66666666667
244.717,1065.66666666667
247.411,1030.0
250.105,1008.33333333333
252.797,998.333333333333
255.489,995.666666666667
258.18,1002.66666666667
260.87,969.333333333333
263.559,979.666666666667
266.248,967.333333333333
268.936,939.666666666667
271.622,943.666666666667
274.308,968.666666666667
276.993,946.0
279.678,944.666666666667
282.361,934.0
285.044,954.666666666667
287.726,949.333333333333
290.407,964.0
293.087,952.333333333333
295.766,936.333333333333
298.445,936.666666666667
301.122,940.666666666667
303.799,952.333333333333
306.475,953.333333333333
309.15,938.0
311.825,940.333333333333
314.498,936.0
317.171,963.333333333333
319.843,954.333333333333
322.514,961.333333333333
325.184,972.666666666667
327.853,967.333333333333
330.522,960.666666666667
333.19,980.666666666667
335.857,984.333333333333
338.523,980.333333333333
341.188,992.333333333333
343.852,1034.66666666667
346.516,1034.0
349.179,1042.66666666667
351.841,1063.0
354.502,1053.33333333333
357.162,1049.0
359.822,1005.0
362.481,975.333333333333
365.139,981.0
367.796,985.0
370.452,967.666666666667
373.107,993.666666666667
375.762,972.0
378.416,1000.66666666667
381.069,948.333333333333
383.721,975.666666666667
386.372,971.0
389.023,1008.33333333333
391.673,974.333333333333
394.321,981.0
396.97,987.0
399.617,969.666666666667
402.263,976.0
404.909,990.333333333333
407.554,1010.66666666667
410.198,987.333333333333
412.841,1015.33333333333
415.483,1003.33333333333
418.125,1002.66666666667
420.766,985.0
423.406,993.333333333333
426.045,962.333333333333
428.683,986.666666666667
431.321,997.0
433.957,998.666666666667
436.593,989.333333333333
439.228,1021.33333333333
441.863,988.333333333333
444.496,1020.66666666667
447.129,987.333333333333
449.761,974.0
452.392,985.333333333333
455.022,1004.66666666667
457.652,974.0
460.28,988.666666666667
462.908,1022.66666666667
465.535,1014.33333333333
468.161,1024.0
470.787,1005.66666666667
473.411,998.0
476.035,997.0
478.658,991.666666666667
481.28,961.666666666667
483.902,939.666666666667
486.522,959.666666666667
489.142,985.0
491.761,963.0
494.379,983.666666666667
496.997,968.0
499.613,958.333333333333
502.229,943.666666666667
504.844,953.666666666667
507.458,943.0
510.072,922.333333333333
512.684,909.666666666667
515.296,966.666666666667
517.907,1056.0
520.518,1320.66666666667
523.127,1499.33333333333
525.736,1557.0
528.343,1509.33333333333
530.95,1387.66666666667
533.557,1095.66666666667
536.162,913.666666666667
538.767,866.0
541.371,855.0
543.974,815.0
546.576,833.333333333333
549.177,807.666666666667
551.778,812.666666666667
554.378,803.333333333333
556.977,779.333333333333
559.575,798.0
562.173,771.333333333333
564.769,782.0
567.365,783.0
569.96,788.333333333333
572.555,782.666666666667
575.148,761.333333333333
577.741,779.0
580.333,763.666666666667
582.924,771.333333333333
585.515,761.333333333333
588.104,766.333333333333
590.693,770.0
593.281,772.666666666667
595.868,787.0
598.455,788.333333333333
601.04,777.666666666667
603.625,791.0
606.209,778.666666666667
608.793,808.0
611.375,812.333333333333
613.957,841.333333333333
616.538,867.666666666667
619.118,945.333333333333
621.697,1025.33333333333
624.276,1090.0
626.854,1060.66666666667
629.431,1052.66666666667
632.007,999.0
634.582,914.333333333333
637.157,865.666666666667
639.731,807.666666666667
642.304,794.333333333333
644.876,765.0
647.448,765.0
650.019,776.666666666667
652.589,765.0
655.158,764.333333333333
657.726,743.333333333333
660.294,744.333333333333
662.861,739.0
665.427,755.0
667.992,745.333333333333
670.557,752.666666666667
673.121,740.666666666667
675.684,764.666666666667
678.246,748.333333333333
680.807,749.666666666667
683.368,732.0
685.928,740.666666666667
688.487,731.333333333333
691.045,734.666666666667
693.603,746.666666666667
696.16,758.0
698.716,741.666666666667
701.271,735.0
703.826,747.0
706.379,742.333333333333
708.932,751.0
711.484,747.333333333333
714.036,729.0
716.586,741.666666666667
719.136,739.333333333333
721.685,755.333333333333
724.234,765.0
726.781,771.666666666667
729.328,760.666666666667
731.874,804.333333333333
734.419,810.333333333333
736.964,785.0
739.507,789.333333333333
742.05,783.0
744.592,775.333333333333
747.134,755.0
749.675,744.666666666667
752.214,754.0
754.753,747.0
757.292,746.0
759.829,757.333333333333
762.366,757.666666666667
764.902,745.666666666667
767.438,748.333333333333
769.972,758.0
772.506,765.333333333333
775.039,806.333333333333
777.571,838.666666666667
780.102,963.333333333333
782.633,1291.33333333333
785.163,2222.0
787.692,2692.0
790.221,2657.0
792.748,2564.33333333333
795.275,2095.0
797.801,1278.66666666667
800.327,942.333333333333
802.851,897.333333333333
805.375,857.0
807.898,879.0
810.421,898.333333333333
812.942,873.666666666667
815.463,886.0
817.983,873.0
820.502,834.0
823.021,821.0
825.539,814.666666666667
828.056,785.666666666667
830.572,791.0
833.088,769.333333333333
835.602,790.333333333333
838.116,772.333333333333
840.63,781.666666666667
843.142,810.333333333333
845.654,816.666666666667
848.165,795.0
850.675,795.333333333333
853.185,784.0
855.693,761.666666666667
858.201,748.666666666667
860.709,755.333333333333
863.215,736.0
865.721,740.666666666667
868.226,746.0
870.73,730.333333333333
873.234,731.666666666667
875.736,748.333333333333
878.238,727.666666666667
880.74,731.0
883.24,727.0
885.74,751.666666666667
888.239,729.0
890.737,738.0
893.235,761.666666666667
895.731,750.333333333333
898.227,746.0
900.723,775.333333333333
903.217,759.0
905.711,743.666666666667
908.204,753.333333333333
910.696,742.666666666667
913.188,743.666666666667
915.678,731.666666666667
918.168,736.666666666667
920.658,744.666666666667
923.146,724.0
925.634,731.0
928.121,731.0
930.608,747.333333333333
933.093,729.333333333333
935.578,735.0
938.062,739.0
940.545,732.0
943.028,738.333333333333
945.51,722.666666666667
947.991,721.666666666667
950.471,738.333333333333
952.951,727.666666666667
955.43,736.666666666667
957.908,733.333333333333
960.386,745.666666666667
962.862,739.0
965.338,751.666666666667
967.814,748.666666666667
970.288,773.0
972.762,765.666666666667
975.235,774.666666666667
977.707,776.333333333333
980.179,779.333333333333
982.65,784.333333333333
985.12,775.333333333333
987.589,837.666666666667
990.058,865.333333333333
992.525,907.333333333333
994.993,941.0
997.459,1101.0
999.925,1822.0
1002.39,3509.66666666667
1004.854,3850.66666666667
1007.317,3876.33333333333
1009.78,3637.33333333333
1012.242,2784.33333333333
1014.703,1311.66666666667
1017.164,952.333333333333
1019.624,871.666666666667
1022.083,853.0
1024.541,888.333333333333
1026.999,1103.33333333333
1029.456,1606.33333333333
1031.912,1677.66666666667
1034.367,1650.0
1036.822,1578.0
1039.276,1267.33333333333
1041.729,911.333333333333
1044.182,816.0
1046.634,789.0
1049.085,769.666666666667
1051.535,751.0
1053.985,770.0
1056.433,773.0
1058.882,758.666666666667
1061.329,743.333333333333
1063.776,761.666666666667
1066.222,734.0
1068.667,760.333333333333
1071.112,747.333333333333
1073.555,767.666666666667
1075.999,743.666666666667
1078.441,755.0
1080.883,758.333333333333
1083.323,755.0
1085.764,756.0
1088.203,756.0
1090.642,739.333333333333
1093.08,755.0
1095.517,732.0
1097.954,731.666666666667
1100.39,746.333333333333
1102.825,735.0
1105.259,733.666666666667
1107.693,737.0
1110.126,728.333333333333
1112.558,727.666666666667
1114.99,735.666666666667
1117.421,733.333333333333
1119.851,743.333333333333
1122.28,731.666666666667
1124.709,735.333333333333
1127.137,743.0
1129.564,736.333333333333
1131.991,734.666666666667
1134.417,716.666666666667
1136.842,737.333333333333
1139.266,750.666666666667
1141.69,732.333333333333
1144.113,773.0
1146.535,785.333333333333
1148.957,785.666666666667
1151.377,846.0
1153.798,901.333333333333
1156.217,957.0
1158.636,964.333333333333
1161.054,954.666666666667
1163.471,940.0
1165.887,867.666666666667
1168.303,848.0
1170.718,821.666666666667
1173.133,850.333333333333
1175.546,874.666666666667
1177.959,926.666666666667
1180.372,923.666666666667
1182.783,957.0
1185.194,923.333333333333
1187.604,895.0
1190.014,854.666666666667
1192.423,851.333333333333
1194.831,800.333333333333
1197.238,838.0
1199.645,832.0
1202.05,868.0
1204.456,952.333333333333
1206.86,1163.66666666667
1209.264,1468.33333333333
1211.667,1560.66666666667
1214.069,1623.33333333333
1216.471,1469.33333333333
1218.872,1201.66666666667
1221.272,923.666666666667
1223.672,805.333333333333
1226.071,781.666666666667
1228.469,767.0
1230.866,759.333333333333
1233.263,740.333333333333
1235.659,735.0
1238.054,734.666666666667
1240.449,752.666666666667
1242.843,749.666666666667
1245.236,732.666666666667
1247.629,731.666666666667
1250.021,743.333333333333
1252.412,733.666666666667
1254.802,746.333333333333
1257.192,725.0
1259.581,738.333333333333
1261.969,722.0
1264.357,728.666666666667
1266.744,714.0
1269.13,729.0
1271.516,720.666666666667
1273.9,723.0
1276.284,716.666666666667
1278.668,719.666666666667
1281.051,724.0
1283.433,724.333333333333
1285.814,721.0
1288.195,714.0
1290.575,729.666666666667
1292.954,727.0
1295.332,718.333333333333
1297.71,726.333333333333
1300.088,720.333333333333
1302.464,726.666666666667
1304.84,717.666666666667
1307.215,729.0
1309.589,745.666666666667
1311.963,738.333333333333
1314.336,731.333333333333
1316.708,740.333333333333
1319.08,749.0
1321.451,732.0
1323.821,748.0
1326.191,747.666666666667
1328.559,766.666666666667
1330.928,757.666666666667
1333.295,750.666666666667
1335.662,769.333333333333
1338.028,756.666666666667
1340.393,739.666666666667
1342.758,744.333333333333
1345.122,741.0
1347.486,725.666666666667
1349.848,746.333333333333
1352.21,746.0
1354.571,745.333333333333
1356.932,739.0
1359.292,741.333333333333
1361.651,750.333333333333
1364.01,760.0
1366.367,770.333333333333
1368.725,782.0
1371.081,808.333333333333
1373.437,835.0
1375.792,941.0
1378.146,986.0
1380.5,1046.33333333333
1382.853,1041.33333333333
1385.205,989.333333333333
1387.557,913.666666666667
1389.908,849.333333333333
1392.258,822.333333333333
1394.608,791.0
1396.957,775.666666666667
1399.305,772.333333333333
1401.653,766.666666666667
1404.0,754.333333333333
1406.346,753.0
1408.691,757.666666666667
1411.036,740.666666666667
1413.38,763.666666666667
1415.724,752.666666666667
1418.067,758.666666666667
1420.409,764.333333333333
1422.75,774.333333333333
1425.091,776.333333333333
1427.431,798.0
1429.771,791.333333333333
1432.109,802.333333333333
1434.447,824.0
1436.785,819.333333333333
1439.121,826.0
1441.458,821.333333333333
1443.793,819.666666666667
1446.128,813.0
1448.462,812.666666666667
1450.795,801.333333333333
1453.127,798.666666666667
1455.459,817.333333333333
1457.791,817.0
1460.121,785.333333333333
1462.451,788.0
1464.781,782.333333333333
1467.109,791.0
1469.437,777.333333333333
1471.764,774.333333333333
1474.091,762.666666666667
1476.417,776.666666666667
1478.742,757.333333333333
1481.067,741.333333333333
1483.39,759.0
1485.714,756.0
1488.036,755.666666666667
1490.358,776.0
1492.679,764.666666666667
1495.0,772.666666666667
1497.32,768.0
1499.639,770.0
1501.957,785.666666666667
1504.275,767.666666666667
1506.592,755.666666666667
1508.909,753.333333333333
1511.225,745.0
1513.54,740.0
1515.854,743.666666666667
1518.168,745.0
1520.481,745.666666666667
1522.794,753.333333333333
1525.106,733.666666666667
1527.417,722.333333333333
1529.727,739.666666666667
1532.037,762.666666666667
1534.346,727.0
1536.655,736.666666666667
1538.963,754.666666666667
1541.27,755.666666666667
1543.576,759.0
1545.882,732.333333333333
1548.188,740.0
1550.492,739.333333333333
1552.796,748.0
1555.099,759.0
1557.402,747.666666666667
1559.703,756.0
1562.005,763.666666666667
1564.305,755.666666666667
1566.605,774.666666666667
1568.904,786.0
1571.203,782.666666666667
1573.501,809.0
1575.798,829.0
1578.095,849.666666666667
1580.391,942.0
1582.686,970.0
1584.98,1030.33333333333
1587.274,1051.33333333333
1589.568,1038.66666666667
1591.86,1022.33333333333
1594.152,978.666666666667
1596.443,968.666666666667
1598.734,996.333333333333
1601.024,1105.66666666667
1603.313,1204.0
1605.602,1279.66666666667
1607.89,1250.33333333333
1610.177,1193.0
1612.464,1098.66666666667
1614.75,967.666666666667
1617.036,908.666666666667
1619.32,875.0
1621.604,852.333333333333
1623.888,815.0
1626.171,815.0
1628.453,793.666666666667
1630.734,791.666666666667
1633.015,781.333333333333
1635.295,768.0
1637.575,740.0
1639.854,737.333333333333
1642.132,732.0
1644.409,726.666666666667
1646.686,728.0
1648.962,740.333333333333
1651.238,729.0
1653.513,718.666666666667
1655.787,719.333333333333
1658.061,721.666666666667
1660.334,731.666666666667
1662.606,715.333333333333
1664.878,729.333333333333
1667.149,706.0
1669.419,717.666666666667
1671.689,722.333333333333
1673.958,713.0
1676.227,717.333333333333
1678.494,701.333333333333
1680.761,712.333333333333
1683.028,712.0
1685.294,720.666666666667
1687.559,709.0
1689.824,721.333333333333
1692.087,712.666666666667
1694.351,716.0
1696.613,703.0
1698.875,708.333333333333
