raw - raw,raw - raw,Truncation - Truncation,Truncation - Truncation
Raman Shift,Intensity,Truncated,Truncated
Raw Data x cm-1,Raw Data y a. u.,Raman shift cm-1,Intensity a. u.
param: nan,param: nan,param: nan,param: nan
raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,Truncated to [500, 1600] cm⁻¹ (449 points).,Truncated to [500, 1600] cm⁻¹ (449 points).
585.502,1440.15,920.646,1151.2
588.092,1470.95,923.134,1167.8
590.68,1478.8,925.622,1155.25
593.268,1500.85,928.109,1146.75
595.856,1534.2,930.595,1182.3
598.442,1560.8,933.081,1173.25
601.028,1622.45,935.566,1176.65
603.613,1673.55,938.05,1185.35
606.197,1746.0,940.533,1170.5
608.78,1845.2,943.016,1172.95
611.362,2010.8,945.498,1175.3
613.944,2261.3,947.979,1175.45
616.525,2670.95,950.459,1181.25
619.105,3395.6,952.939,1203.8
621.685,4263.05,955.418,1232.05
624.263,4895.1,957.896,1245.9
626.841,5014.15,960.374,1289.75
629.418,4710.4,962.85,1323.95
631.994,4056.4,965.326,1413.4
634.57,3152.4,967.802,1483.25
637.145,2462.55,970.276,1570.95
639.718,2001.2,972.75,1624.25
642.292,1732.35,975.223,1689.6
644.864,1578.15,977.695,1734.95
647.436,1463.1,980.167,1773.75
650.006,1400.05,982.638,1818.6
652.576,1338.1,985.108,1961.6
655.146,1314.6,987.577,2313.95
657.714,1273.5,990.046,2877.9
660.282,1257.35,992.513,3384.3
662.849,1239.9,994.981,4002.5
665.415,1233.45,997.447,5604.35
667.98,1204.35,999.913,14243.5
670.545,1195.15,1002.378,34085.1
673.108,1195.7,1004.842,37948.65
675.671,1211.75,1007.305,37871.0
678.234,1198.2,1009.768,35984.75
680.795,1194.5,1012.23,25176.6
683.356,1201.4,1014.691,8091.05
685.916,1201.05,1017.152,3762.5
688.475,1202.35,1019.612,2841.0
691.033,1223.75,1022.071,2630.25
693.591,1233.15,1024.529,3053.1
696.147,1240.0,1026.987,5701.5
698.703,1253.55,1029.444,11033.85
701.259,1236.8,1031.9,11889.35
703.813,1250.35,1034.355,11805.1
706.367,1236.45,1036.81,11132.35
708.92,1233.85,1039.264,7859.95
711.472,1239.3,1041.717,3350.3
714.023,1255.7,1044.17,2176.0
716.574,1246.4,1046.622,1884.65
719.124,1269.55,1049.073,1737.75
721.673,1333.0,1051.523,1635.85
724.221,1416.55,1053.973,1565.25
726.769,1539.05,1056.422,1506.25
729.316,1693.8,1058.87,1469.95
731.862,1817.15,1061.317,1455.9
734.407,1859.3,1063.764,1422.85
736.951,1819.6,1066.21,1416.4
739.495,1723.95,1068.655,1412.75
742.038,1570.0,1071.1,1401.45
744.58,1447.45,1073.544,1418.2
747.122,1366.35,1075.987,1439.95
